product_id,product_name,category,brand
1001,Aloe Hydrating Gel 100ml,Skincare,Dermaglow
1002,Vitamin C Serum 30ml,Skincare,Dermaglow
1003,Retinol Cream 50ml,Skincare,Dermaglow
1004,Sunscreen SPF50 50ml,Skincare,Sunguard
1005,Hyaluronic Acid 2% 30ml,Skincare,Dermaglow
1006,Niacinamide 10% 30ml,Skincare,Dermaglow
1007,Cleansing Balm 90g,Skincare,Pureclean
1008,Foaming Cleanser 200ml,Skincare,Pureclean
1009,Micellar Water 400ml,Skincare,Pureclean
1010,Eye Cream 15ml,Skincare,Dermaglow
1011,Lip Balm 10g,Skincare,Dermaglow
1012,Clay Mask 75ml,Skincare,Pureclean
1013,Face Oil 30ml,Skincare,Dermaglow
1014,Body Lotion 250ml,Bodycare,Bodysoft
1015,Hand Cream 50ml,Bodycare,Bodysoft
1016,Shampoo 300ml,Haircare,Hairlux
1017,Conditioner 300ml,Haircare,Hairlux
1018,Hair Serum 50ml,Haircare,Hairlux
1019,Beard Oil 30ml,Grooming,Groompro
1020,Aftershave 100ml,Grooming,Groompro
1021,Exfoliating Toner 200ml,Skincare,Dermaglow
1022,BHA Serum 30ml,Skincare,Dermaglow
1023,AHA Serum 30ml,Skincare,Dermaglow
1024,Moisturizer Gel 50ml,Skincare,Dermaglow
1025,Night Repair Cream 50ml,Skincare,Dermaglow
1026,Ceramide Moisturizer 50ml,Skincare,Dermaglow
